Station	Header	Station_Code	Station_Country	Station_Name	Station_LongName	Station_ActiveFromDate	Station_ActiveUntilDate	Station_ProgramGovernance	Station_StationGovernance	Station_PURPM	Station_Latitude	Station_LatitudeRange	Station_Longitude	Station_LongitudeRange	Station_Geometry	Station_DataType	Station_WLTYP	Station_MSTAT	Station_Notes	Station_Deprecated
Station	Record	6156	SE	Vippholmen 2	Vippholmen 2	2010		H~NTL	545	T~B~S	57.53567	0.05000	16.69783	0.10000		EF	C	RH		false 
Station	Record	6157	SE	Wlandskrona	Wlandskrona	1940		H	545	E~S~T	55.86667	0.05000	12.75000	0.10000		HY~EU~NU			Frequent monitoring station for HELCOM.  Sampling depth 51 metres.	false 
Station	Record	6159	SE	1	1	2014	2017	H	545	T~E~S	58.87490	0.05000	17.47160	0.10000		EF~PB				false 
Station	Record	6160	SE	10	10	2014	2017	H	545	T~E~S	58.81110	0.05000	17.58330	0.10000		EF~PB				false 
Station	Record	6161	SE	1003 V SVENSKA BJÖRN	1003 V SVENSKA BJÖRN	2008		H	545	E~S~T	59.52042	0.05000	19.83620	0.10000		ZB	MO	B		false 
Station	Record	6162	SE	1004	1004 SO GILLÖGA	1985		H	545	E~S~T	59.38517	0.05000	19.46400	0.10000		ZB	C	B		false 
Station	Record	6163	SE	11	11	2014	2017	H	545	T~E~S	58.82000	0.05000	17.63080	0.10000		EF~PB				false 
Station	Record	6158	SE	YTTRE LAHOLMSBUKTEN	YTTRE LAHOLMSBUKTEN	1991		O~H	545	E~S~T	56.54167	0.05000	12.56667	0.10000		HY	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Kattegat E.	false 
Station	Record	6164	SE	11N HIRTSHALS	11N HIRTSHALS	1991		O	545	S	57.74167	0.05000	9.75000	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak S.	false 
Station	Record	6165	SE	12	12	2014		H	545	T~E~S	58.81960	0.05000	17.63280	0.10000		EF~PB				false 
Station	Record	6166	SE	12W HÅLLÖ	12W HÅLLÖ	1991		O	545	S	58.32500	0.05000	10.85000	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak E.	false 
Station	Record	6167	SE	13	13 BOTTENHAVET	2009		H	545	E~S~T	60.37983	0.05000	18.89517	0.10000		ZB	MO			false 
Station	Record	6168	SE	13/9 Visby/Västerv	13/9 Visby/Västerv	1964		H	545	E~S~T	57.76167	0.05000	16.83333	0.10000		HY~NU			Winter nutrients.  Sampling depth 35 metres.	false 
Station	Record	6169	SE	13_south	13_south	1992	2018	H	545	E~S~T	58.82033	0.05000	17.62268	0.10000		ZB	MO			false 
Station	Record	6170	SE	14	14	2014	2017	H	545	T~E~S	58.79300	0.05000	17.60180	0.10000		EF~PB				false 
Station	Record	6171	SE	15	15	2014		H	545	T~E~S	58.79110	0.05000	17.60580	0.10000		EF~PB				false 
Station	Record	6172	SE	16	16	2014		H	545	T~E~S	58.78300	0.05000	17.55230	0.10000		EF~PB				false 
Station	Record	6173	SE	16N HANSTHOLM	16N HANSTHOLM	1991		O	545	S	57.42500	0.05000	8.61667	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak S.	false 
Station	Record	6174	SE	17	17	2014	2017	H	545	T~E~S	58.77530	0.05000	17.57470	0.10000		EF~PB				false 
Station	Record	6175	SE	17N HIRTSHALS	17N HIRTSHALS	1991		O	545	S	57.89167	0.05000	9.88333	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak S.	false 
Station	Record	6176	SE	18	18 ÖREGRUNDS KUSTVATTEN	2009		H	545	E~S~T	60.43133	0.05000	18.81083	0.10000		ZB	C			false 
Station	Record	6177	SE	18_south	18_south	1992	2017	H	545	E~S~T	58.76750	0.05000	17.57083	0.10000		ZB	C			false 
Station	Record	6178	SE	19	19	2014	2017	H	545	T~E~S	58.75190	0.05000	17.55800	0.10000		EF~PB				false 
Station	Record	6179	SE	19W MÅSESKÄR	19W MÅSESKÄR	1991		O	545	S	58.10833	0.05000	10.73333	0.10000		EU~NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak E.	false 
Station	Record	6180	SE	2	2	2014	2017	H	545	T~E~S	58.83770	0.05000	17.52240	0.10000		EF~PB				false 
Station	Record	6181	SE	3	3	2013		H	545	T~E~S	58.83820	0.05000	17.54580	0.10000		EF~PB				false 
Station	Record	6182	SE	30N HIRTSHALS	30N HIRTSHALS	1991		O	545	S	58.07500	0.05000	9.81667	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak S.	false 
Station	Record	6183	SE	3129 ESE NÄR	3129 ESE NÄR	2008		H	545	E~S~T	57.16259	0.05000	18.82391	0.10000		ZB	MO	B		false 
Station	Record	6184	SE	31N HANSTHOLM	31N HANSTHOLM	1991		O	545	S	57.60833	0.05000	8.78333	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak S.	false 
Station	Record	6185	SE	36N HANSTHOLM	36N HANSTHOLM	1991		O	545	S	57.77500	0.05000	8.78333	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak S.	false 
Station	Record	6186	SE	4	4	2014		H	545	T~E~S	58.81360	0.05000	17.55340	0.10000		EF~PB				false 
Station	Record	6187	SE	4.5N SKAGEN	4.5N SKAGEN	1991		O	545	S	57.82500	0.05000	10.58333	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak E.	false 
Station	Record	6188	SE	4009	4009 HÄVRINGE	1982		H	545	E~S~T	58.56146	0.05000	17.36854	0.10000		ZB	C	B		false 
Station	Record	6189	SE	409 ÅLBORG BUGT	409 ÅLBORG BUGT	1983		O~H	545	E~S~T	56.85667	0.05000	10.79167	0.10000		HY~NU	MO	RP	Winter nutrients.  Sampling depth 15 metres. Kattegat W.	false 
Station	Record	6190	SE	441 Stevns klint	441 Stevns klint	1973		H	545	E~S~T	55.27167	0.05000	12.57500	0.10000		HY~NU			Winter nutrients.  Sampling depth 26 metres.	false 
Station	Record	6191	SE	5	5	2014		H	545	T~E~S	58.81380	0.05000	17.55540	0.10000		EF~PB				false 
Station	Record	6192	SE	5W VÄDERÖARNA	5W VÄDERÖARNA	1991		O	545	S	58.54167	0.05000	10.85000	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak E.	false 
Station	Record	6193	SE	6	6	2014		H	545	T~E~S	58.81380	0.05000	17.55550	0.10000		EF~PB				false 
Station	Record	6194	SE	6004	6004	2000		H	545	T~S	58.77533	0.05000	17.69167	0.10000		EF		RH		false 
Station	Record	6195	SE	6019	6019	2000		H	545	T~S	58.73867	0.05000	17.67633	0.10000		EF		RH		false 
Station	Record	6196	SE	6020	6020	2000		H	545	T~S	58.81117	0.05000	17.60983	0.10000		EF		RH		false 
Station	Record	6197	SE	6022	6022	2000		H	545	T~S	58.74467	0.05000	17.81250	0.10000		EF		RH		false 
Station	Record	6198	SE	6025	6025	2000		H	545	T~S	58.79117	0.05000	17.73117	0.10000		EF		RH		false 
Station	Record	6199	SE	6E GRENÅ	6E GRENÅ	1991		O	545	S	56.47500	0.05000	11.10000	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Kattegat W.	false 
Station	Record	6200	SE	6NE LYSEGRUND	6NE LYSEGRUND	1991		O	545	S	56.34167	0.05000	11.96667	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Kattegat E.	false 
Station	Record	6201	SE	7	7	2014	2017	H	545	T~E~S	58.80930	0.05000	17.55280	0.10000		EF~PB				false 
Station	Record	6202	SE	7.5NE SKAGENS REV	7.5NE SKAGENS REV	1991		O	545	S	57.87500	0.05000	10.98333	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak E.	false 
Station	Record	6203	SE	7N HJELM	7N HJELM	1991		O	545	S	56.19167	0.05000	10.96667	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Kattegat W.	false 
Station	Record	6204	SE	7W HÅLLÖ	7W HÅLLÖ	1991		O	545	S	58.32500	0.05000	11.00000	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak E.	false 
Station	Record	6205	SE	8	8	2014	2017	H	545	T~E~S	58.80450	0.05000	17.55100	0.10000		EF~PB				false 
Station	Record	6206	SE	9	9	2014	2017	H	545	T~E~S	58.79610	0.05000	17.56230	0.10000		EF~PB				false 
Station	Record	6207	SE	925 KATTEGAT SW	925 KATTEGAT SW	1989		O~H	545	E~S~T	56.13167	0.05000	11.16000	0.10000		HY~NU	MO	RP	Winter nutrients.  Sampling depth 45 metres. Kattegat W.	false 
Station	Record	6208	SE	9W MÅSESKÄR	9W MÅSESKÄR	1991		O	545	S	58.07500	0.05000	11.06667	0.10000		NU	MO	RP	Visited on IBTS I & III cruises if cruiseplan permits Skagerrak E.	false 
Station	Record	6209	SE	Å13	Å13	1964		O	545	T~E~S	58.33667	0.05000	11.03333	0.10000		EU~NU	MO	RP	Skagerrak E.	false 
Station	Record	6210	SE	Å15	Å15	1964		O	545	T~E~S	58.29500	0.05000	10.85000	0.10000		EU~NU	MO	RP	Skagerrak E.	false 
Station	Record	6211	SE	Å17	Å17	1999		O	545	T	58.27500	0.05000	10.51333	0.10000		PP~ZP~HY	MO	RP		false 
Station	Record	6212	SE	Abbekås	Abbekås	2007		H~NTL	545	T~S	55.31667	0.05000	13.61167	0.10000		CF~PP~HY	C	B		false 
Station	Record	6213	SE	Abiskojaure	Abiskojaure	1977		A	545	T~S	68.30000	0.05000	19.00000	0.10000		CF	LK			false 
