dyntaxa_scientific_name	helcom_peg_scientific_name	ices_rlist
Gomphosphaeria salina	Gomphosphaeria salina	PEG_BVOL
Gomphosphaeria	Gomphosphaeria	PEG_BVOL
Lemmermanniella pallida	Lemmermanniella pallida	PEG_BVOL
Lemmermanniella parva	Lemmermanniella parva	PEG_BVOL
Lemmermanniella	Lemmermanniella	PEG_BVOL
Limnococcus limneticus	Limnococcus limneticus	PEG_BVOL
Merismopedia elegans	Merismopedia elegans	PEG_BVOL
Merismopedia glauca	Merismopedia glauca	PEG_BVOL
Merismopedia punctata	Merismopedia punctata	PEG_BVOL
Merismopedia tenuissima	Merismopedia tenuissima	PEG_BVOL
Merismopedia warmingiana	Merismopedia warmingiana	PEG_BVOL
Merismopedia	Merismopedia	PEG_BVOL
Microcystis aeruginosa	Microcystis aeruginosa	PEG_BVOL
Microcystis flosaquae	Microcystis flos-aquae	PEG_BVOL
Microcystis novacekii	Microcystis novacekii	PEG_BVOL
Microcystis viridis	Microcystis viridis	PEG_BVOL
Microcystis wesenbergii	Microcystis wesenbergii	PEG_BVOL
Microcystis	Microcystis	PEG_BVOL
Pannus spumosus	Pannus spumosus	PEG_BVOL
Pannus	Pannus	PEG_BVOL
Radiocystis geminata	Radiocystis geminata	PEG_BVOL
Rhabdoderma	Rhabdoderma	PEG_BVOL
Snowella atomus	Snowella atomus	PEG_BVOL
Snowella fennica	Snowella fennica	PEG_BVOL
Snowella lacustris	Snowella lacustris	PEG_BVOL
Snowella litoralis	Snowella litoralis	PEG_BVOL
Snowella septentrionalis	Snowella septentrionalis	PEG_BVOL
Snowella	Snowella	PEG_BVOL
Woronichinia compacta	Woronichinia compacta	PEG_BVOL
Woronichinia elorantae	Woronichinia elorantae	PEG_BVOL
Woronichinia fusca	Woronichinia fusca	PEG_BVOL
Woronichinia karelica	Woronichinia karelica	PEG_BVOL
Woronichinia	Woronichinia	PEG_BVOL
Kamptonema chlorinum	Kamptonema chlorinum	PEG_BVOL
Limnothrix planctonica	Limnothrix planctonica	PEG_BVOL
Limnothrix redekei	Limnothrix redekei	PEG_BVOL
Limnothrix	Limnothrix	PEG_BVOL
Lyngbya aestuarii	Lyngbya aestuarii	PEG_BVOL
Oscillatoria limosa	Oscillatoria limosa	PEG_BVOL
Oscillatoriales	Oscillatoriales	PEG_BVOL
Anagnostidinema amphibium	Geitlerinema amphibium	PEG_BVOL
Phormidium	Phormidium	PEG_BVOL
