scientific_name	dyntaxa_id	aphia_id	worms_scientific_name	worms_status	worms_rank	worms_kingdom	worms_phylum	worms_class	worms_order	worms_family	worms_genus
Trachelomonas	1010666	163247	Trachelomonas	accepted	Genus	Protozoa	Euglenozoa		Euglenida	Euglenaceae	Trachelomonas
Trachelomonas hispida	238582	163412	Trachelomonas hispida	accepted	Species	Protozoa	Euglenozoa		Euglenida	Euglenaceae	Trachelomonas
Trachelomonas volvocina	238584	163404	Trachelomonas volvocina	accepted	Species	Protozoa	Euglenozoa		Euglenida	Euglenaceae	Trachelomonas
Trachinus draco	206279	127082	Trachinus draco	accepted	Species	Animalia	Chordata		Perciformes	Trachinidae	Trachinus
Trachurus trachurus	206080	126822	Trachurus trachurus	accepted	Species	Animalia	Chordata		Carangiformes	Carangidae	Trachurus
Trachylinae	3000015	22754	Trachylinae	accepted	Subclass	Animalia	Cnidaria				
Leptopentacta elongata	217738	124635	Leptopentacta elongata	unaccepted	Species	Animalia	Echinodermata		Dendrochirotida	Cucumariidae	Leptopentacta
Travisia forbesii	227832	130512	Travisia forbesii	accepted	Species	Animalia	Annelida			Travisiidae	Travisia
Treubaria triappendiculata	238788	576717	Treubaria triappendiculata	accepted	Species	Plantae	Chlorophyta		Chlamydomonadales	Treubariaceae	Treubaria
Trichobranchus glacialis	227497	131574	Trichobranchus glacialis	accepted	Species	Animalia	Annelida		Terebellida	Trichobranchidae	Trichobranchus
Trichobranchus roseus	227498	131575	Trichobranchus roseus	accepted	Species	Animalia	Annelida		Terebellida	Trichobranchidae	Trichobranchus
Trichocerca	1013012	134959	Trichocerca	accepted	Genus	Animalia	Rotifera		Ploima	Trichocercidae	Trichocerca
Trichoptera	3000187	160252	Trichoptera	accepted	Order	Animalia	Arthropoda		Trichoptera		
Tricladida	4000026	142028	Tricladida	accepted	Order	Animalia	Platyhelminthes		Tricladida		
Trieres regia	237377	839996	Trieres regia	uncertain	Species	Chromista	Ochrophyta		Triceratiales	Triceratiaceae	Trieres
Triglidae	2002018	125598	Triglidae	accepted	Family	Animalia	Chordata		Perciformes	Triglidae	
Myoxocephalus quadricornis	100140	254529	Myoxocephalus quadricornis	accepted	Species	Animalia	Chordata		Perciformes	Cottidae	Myoxocephalus
Trigonium alternans	6009232	699394	Trigonium alternans	alternate representation	Species	Chromista	Ochrophyta		Biddulphiales	Biddulphiaceae	Trigonium
Tripos furca	238300	840627	Tripos furca	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ceratiaceae	Tripos
Tripos fusus	238302	840626	Tripos fusus	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ceratiaceae	Tripos
Tripos horridus	238304	837453	Tripos horridus	uncertain	Species	Chromista	Myzozoa		Gonyaulacales	Ceratiaceae	Tripos
Tripos lineatus	238307	837459	Tripos lineatus	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ceratiaceae	Tripos
Tripos longipes	238308	841259	Tripos longipes	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ceratiaceae	Tripos
Tripos muelleri	238319	495363	Tripos muelleri	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ceratiaceae	Tripos
Trisopterus	1001733	125739	Trisopterus	accepted	Genus	Animalia	Chordata		Gadiformes	Gadidae	Trisopterus
Trisopterus esmarkii	206148	126444	Trisopterus esmarkii	accepted	Species	Animalia	Chordata		Gadiformes	Gadidae	Trisopterus
Trisopterus luscus	206149	126445	Trisopterus luscus	accepted	Species	Animalia	Chordata		Gadiformes	Gadidae	Trisopterus
Trisopterus minutus	206150	126446	Trisopterus minutus	accepted	Species	Animalia	Chordata		Gadiformes	Gadidae	Trisopterus
Tritia nitida	250051	890057	Tritia nitida	accepted	Species	Animalia	Mollusca		Neogastropoda	Nassariidae	Tritia
Tritonia	1005060	138580	Tritonia	accepted	Genus	Animalia	Mollusca		Nudibranchia	Tritoniidae	Tritonia
Tritonia hombergii	218196	416648	Tritonia hombergii	accepted	Species	Animalia	Mollusca		Nudibranchia	Tritoniidae	Tritonia
Trivia arctica	102781	141741	Trivia arctica	accepted	Species	Animalia	Mollusca		Littorinimorpha	Triviidae	Trivia
Trochochaeta multisetosa	227369	131576	Trochochaeta multisetosa	accepted	Species	Animalia	Annelida		Spionida	Trochochaetidae	Trochochaeta
Tropidomya abbreviata	249086	139470	Tropidomya abbreviata	accepted	Species	Animalia	Mollusca			Cuspidariidae	Tropidomya
Tryblionella apiculata	237695	176393	Tryblionella apiculata	uncertain	Species	Chromista	Ochrophyta		Bacillariales	Bacillariaceae	Tryblionella
Tryphosa	6011986	101660	Tryphosa	accepted	Genus	Animalia	Arthropoda		Amphipoda	Tryphosidae	Tryphosa
Tryphosella sarsi	243485	102771	Tryphosella sarsi	accepted	Species	Animalia	Arthropoda		Amphipoda	Tryphosidae	Tryphosella
Tryphosites longipes	233606	102779	Tryphosites longipes	accepted	Species	Animalia	Arthropoda		Amphipoda	Tryphosidae	Tryphosites
Tubifex	1006773	137392	Tubifex	accepted	Genus	Animalia	Annelida		Tubificida	Naididae	Tubifex
Tubifex tubifex	225592	137569	Tubifex tubifex	accepted	Species	Animalia	Annelida		Tubificida	Naididae	Tubifex
Naididae	2002942	2039	Naididae	accepted	Family	Animalia	Annelida		Tubificida	Naididae	
Tubificoides	1006780	137393	Tubificoides	accepted	Genus	Animalia	Annelida		Tubificida	Naididae	Tubificoides
Edukemius benedii	225609	476216	Edukemius benedii	unaccepted	Species	Animalia	Annelida		Tubificida	Naididae	Edukemius
Tubulanus	1009791	122388	Tubulanus	accepted	Genus	Animalia	Nemertea		Tubulaniformes	Tubulanidae	Tubulanus
Tubulanus annulatus	234715	122626	Tubulanus annulatus	accepted	Species	Animalia	Nemertea		Tubulaniformes	Tubulanidae	Tubulanus
Tubulanus polymorphus	241597	122637	Tubulanus polymorphus	accepted	Species	Animalia	Nemertea		Tubulaniformes	Tubulanidae	Tubulanus
Tubularia	1009938	117258	Tubularia	accepted	Genus	Animalia	Cnidaria		Anthoathecata	Tubulariidae	Tubularia
Tubularia indivisa	235149	117994	Tubularia indivisa	accepted	Species	Animalia	Cnidaria		Anthoathecata	Tubulariidae	Tubularia
Ectopleura larynx	235150	157933	Ectopleura larynx	accepted	Species	Animalia	Cnidaria		Anthoathecata	Tubulariidae	Ectopleura
Tubulariidae	2000048	1603	Tubulariidae	accepted	Family	Animalia	Cnidaria		Anthoathecata	Tubulariidae	
Tunicata	4000093	146420	Tunicata	accepted	Subphylum	Animalia	Chordata				
Pyrgiscus crenatus	250053	836211	Pyrgiscus crenatus	accepted	Species	Animalia	Mollusca			Pyramidellidae	Pyrgiscus
Pyrgiscus crenatus	250053	836211	Pyrgiscus crenatus	accepted	Species	Animalia	Mollusca			Pyramidellidae	Pyrgiscus
Turritella communis	218052	141872	Turritella communis	unaccepted	Species	Animalia	Mollusca		[unassigned] Caenogastropoda	Turritellidae	Turritella
Turritella communis	218052	141872	Turritella communis	unaccepted	Species	Animalia	Mollusca		[unassigned] Caenogastropoda	Turritellidae	Turritella
Tychonema tenue	236772	177618	Tychonema tenue	accepted	Species	Bacteria	Cyanobacteria		Oscillatoriales	Phormidiaceae	Tychonema
Typha	1006516	1415752	Typha	accepted	Genus	Plantae	Tracheophyta		Poales	Typhaceae	Typha
Typha angustifolia	222714	1415753	Typha angustifolia	accepted	Species	Plantae	Tracheophyta		Poales	Typhaceae	Typha
Typha latifolia	222715	1415754	Typha latifolia	accepted	Species	Plantae	Tracheophyta		Poales	Typhaceae	Typha
Typhlomangelia nivalis	102802	139391	Typhlomangelia nivalis	accepted	Species	Animalia	Mollusca		Neogastropoda	Borsoniidae	Typhlomangelia
Syllis	1007398	129680	Syllis	accepted	Genus	Animalia	Annelida		Phyllodocida	Syllidae	Syllis
Syllis cornuta	226982	157583	Syllis cornuta	accepted	Species	Animalia	Annelida		Phyllodocida	Syllidae	Syllis
Syllis variegata	226990	131458	Syllis variegata	accepted	Species	Animalia	Annelida		Phyllodocida	Syllidae	Syllis
Ulnaria delicatissima	262389	467133	Ulnaria delicatissima	alternate representation	Species	Chromista	Ochrophyta		Fragilariales	Fragilariaceae	Ulnaria
Ulnaria delicatissima var. angustissima	256819	467134	Ulnaria delicatissima var. angustissima	alternate representation	Variety	Chromista	Ochrophyta		Fragilariales	Fragilariaceae	Ulnaria
Ulnaria ulna	262369	447744	Ulnaria ulna	alternate representation	Species	Chromista	Ochrophyta		Fragilariales	Fragilariaceae	Ulnaria
Ulothrix	1008590	144287	Ulothrix	accepted	Genus	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	Ulothrix
Ulothrix flacca	232856	145925	Ulothrix flacca	accepted	Species	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	Ulothrix
Ulothrix zonata	232860	145934	Ulothrix zonata	accepted	Species	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	Ulothrix
Ulotrichales	3000405	824	Ulotrichales	accepted	Order	Plantae	Chlorophyta		Ulotrichales		
Ulva	1016242	144296	Ulva	accepted	Genus	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Ulvaceae	2002559	143794	Ulvaceae	accepted	Family	Plantae	Chlorophyta		Ulvales	Ulvaceae	
Ulva clathrata	232795	156078	Ulva clathrata	accepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Ulva flexuosa	232798	234468	Ulva flexuosa	accepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Ulva intestinalis	232799	234471	Ulva intestinalis	accepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Ulva lactuca	232801	145984	Ulva lactuca	accepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Ulvales	3000508	827	Ulvales	accepted	Order	Plantae	Chlorophyta		Ulvales		
Ulva linza	232804	234474	Ulva linza	accepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Ulva procera	232806	234461	Ulva procera	unaccepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Ulva prolifera	232807	234476	Ulva prolifera	accepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Unciola planipes	243746	102061	Unciola planipes	accepted	Species	Animalia	Arthropoda		Amphipoda	Unciolidae	Unciola
Unio tumidus	106664	182708	Unio tumidus	accepted	Species	Animalia	Mollusca		Unionida	Unionidae	Unio
Upogebia	1004850	107079	Upogebia	accepted	Genus	Animalia	Arthropoda		Decapoda	Upogebiidae	Upogebia
Upogebia deltaura	102832	107739	Upogebia deltaura	accepted	Species	Animalia	Arthropoda		Decapoda	Upogebiidae	Upogebia
Upogebia stellata	102831	107742	Upogebia stellata	accepted	Species	Animalia	Arthropoda		Decapoda	Upogebiidae	Upogebia
Tunicata	4000093	146420	Tunicata	accepted	Subphylum	Animalia	Chordata				
Uroglenopsis	1016240	555950	Uroglenopsis	accepted	Genus	Chromista	Ochrophyta		Chromulinales	Chromulinaceae	Uroglenopsis
Uroglenopsis americana	263356	555951	Uroglenopsis americana	accepted	Species	Chromista	Ochrophyta		Chromulinales	Chromulinaceae	Uroglenopsis
Uroglenopsis	1016240	555950	Uroglenopsis	accepted	Genus	Chromista	Ochrophyta		Chromulinales	Chromulinaceae	Uroglenopsis
Uroglenopsis americana	263356	555951	Uroglenopsis americana	accepted	Species	Chromista	Ochrophyta		Chromulinales	Chromulinaceae	Uroglenopsis
Urosolenia longiseta	237464	163520	Urosolenia longiseta	alternate representation	Species	Chromista	Ochrophyta		Rhizosoleniales	Rhizosoleniaceae	Urosolenia
Urospora	1008586	143805	Urospora	accepted	Genus	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	Urospora
Urospora penicilliformis	232848	144420	Urospora penicilliformis	accepted	Species	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	Urospora
Urothoe elegans	246874	103228	Urothoe elegans	accepted	Species	Animalia	Arthropoda		Amphipoda	Urothoidae	Urothoe
Urticina	1004873	100706	Urticina	accepted	Genus	Animalia	Cnidaria		Actiniaria	Actiniidae	Urticina
Urticina eques	217858	100833	Urticina eques	accepted	Species	Animalia	Cnidaria		Actiniaria	Actiniidae	Urticina
Urticina felina	217859	100834	Urticina felina	accepted	Species	Animalia	Cnidaria		Actiniaria	Actiniidae	Urticina
Utricularia	1006349	1415756	Utricularia	accepted	Genus	Plantae	Tracheophyta		Lamiales	Lentibulariaceae	Utricularia
Utricularia vulgaris	221856	1415757	Utricularia vulgaris	accepted	Species	Plantae	Tracheophyta		Lamiales	Lentibulariaceae	Utricularia
Valvata	1004992	153994	Valvata	accepted	Genus	Animalia	Mollusca			Valvatidae	Valvata
Valvata cristata	106658	153996	Valvata cristata	accepted	Species	Animalia	Mollusca			Valvatidae	Valvata
Valvata macrostoma	101956	235809	Valvata macrostoma	accepted	Species	Animalia	Mollusca			Valvatidae	Valvata
Valvata piscinalis	101957	153998	Valvata piscinalis	accepted	Species	Animalia	Mollusca			Valvatidae	Valvata
Valvata sibirica	101958	235810	Valvata sibirica	accepted	Species	Animalia	Mollusca			Valvatidae	Valvata
Valvatida	3000806	123090	Valvatida	accepted	Order	Animalia	Echinodermata		Valvatida		
Vannella	6009388	120566	Vannella	accepted	Genus	Protozoa	Amoebozoa		Vannellida	Vannellidae	Vannella
Corbula gibba	218266	139410	Corbula gibba	unaccepted	Species	Animalia	Mollusca		Myida	Corbulidae	Corbula
Warnowia	1010616	109491	Warnowia	accepted	Genus	Chromista	Myzozoa		Gymnodiniales	Warnowiaceae	Warnowia
Warnowia polyphemus	238424	233144	Warnowia polyphemus	accepted	Species	Chromista	Myzozoa		Gymnodiniales	Warnowiaceae	Warnowia
Vaucheria	1009218	144303	Vaucheria	accepted	Genus	Chromista	Ochrophyta		Vaucheriales	Vaucheriaceae	Vaucheria
Vaucheriales	3000333	21627	Vaucheriales	accepted	Order	Chromista	Ochrophyta		Vaucheriales		
Veneridae	2000730	243	Veneridae	accepted	Family	Animalia	Mollusca		Venerida	Veneridae	
Venerupis	1013751	138647	Venerupis	accepted	Genus	Animalia	Mollusca		Venerida	Veneridae	Venerupis
Chamelea	1005145	138633	Chamelea	accepted	Genus	Animalia	Mollusca		Venerida	Veneridae	Chamelea
Clausinella fasciata	218355	141909	Clausinella fasciata	accepted	Species	Animalia	Mollusca		Venerida	Veneridae	Clausinella
Chamelea striatula	218354	141908	Chamelea striatula	accepted	Species	Animalia	Mollusca		Venerida	Veneridae	Chamelea
Chamelea striatula	218354	141908	Chamelea striatula	accepted	Species	Animalia	Mollusca		Venerida	Veneridae	Chamelea
Verruca stroemia	242095	106257	Verruca stroemia	accepted	Species	Animalia	Arthropoda		Verrucomorpha	Verrucidae	Verruca
Pseudochattonella farcimen	237178	531467	Pseudochattonella farcimen	accepted	Species	Chromista	Ochrophyta		Florenciellales	Florenciellales incertae sedis	Pseudochattonella
Vertebrata	6046649	146419	Vertebrata	accepted	Subphylum	Animalia	Chordata				
Westwoodilla	1009394	101705	Westwoodilla	accepted	Genus	Animalia	Arthropoda		Amphipoda	Oedicerotidae	Westwoodilla
Westwoodilla caecula	233608	102932	Westwoodilla caecula	accepted	Species	Animalia	Arthropoda		Amphipoda	Oedicerotidae	Westwoodilla
Westwoodilla caecula	233608	102932	Westwoodilla caecula	accepted	Species	Animalia	Arthropoda		Amphipoda	Oedicerotidae	Westwoodilla
