scientific_name	dyntaxa_id	aphia_id	worms_scientific_name	worms_status	worms_rank	worms_kingdom	worms_phylum	worms_class	worms_order	worms_family	worms_genus
Zannichellia	1005579	416221	Zannichellia	accepted	Genus	Plantae	Tracheophyta		Alismatales	Potamogetonaceae	Zannichellia
Zostera	1005580	144233	Zostera	accepted	Genus	Plantae	Tracheophyta		Alismatales	Zosteraceae	Zostera
Mytilus edulis	106665	140480	Mytilus edulis	accepted	Species	Animalia	Mollusca		Mytilida	Mytilidae	Mytilus
Najas marina	219579	416207	Najas marina	accepted	Species	Plantae	Tracheophyta		Alismatales	Hydrocharitaceae	Najas
Stuckenia pectinata	219594	588573	Stuckenia pectinata	accepted	Species	Plantae	Tracheophyta		Alismatales	Potamogetonaceae	Stuckenia
Potamogeton perfoliatus	219595	416212	Potamogeton perfoliatus	accepted	Species	Plantae	Tracheophyta		Alismatales	Potamogetonaceae	Potamogeton
Ruppia maritima	219604	234031	Ruppia maritima	accepted	Species	Plantae	Tracheophyta		Alismatales	Ruppiaceae	Ruppia
Phragmites australis	219733	416209	Phragmites australis	accepted	Species	Plantae	Tracheophyta		Poales	Poaceae	Phragmites
Elatine hydropiper	221524	715988	Elatine hydropiper	accepted	Species	Plantae	Tracheophyta		Malpighiales	Elatinaceae	Elatine
Ceratophyllum demersum	222389	416204	Ceratophyllum demersum	accepted	Species	Plantae	Tracheophyta		Ceratophyllales	Ceratophyllaceae	Ceratophyllum
Schoenoplectus tabernaemontani	222661	1415740	Schoenoplectus tabernaemontani	accepted	Species	Plantae	Tracheophyta		Poales	Cyperaceae	Schoenoplectus
Myriophyllum spicatum	223347	416205	Myriophyllum spicatum	accepted	Species	Plantae	Tracheophyta		Saxifragales	Haloragaceae	Myriophyllum
Ranunculus baudotii	224928	416217	Ranunculus baudotii	unaccepted	Species	Plantae	Tracheophyta		Ranunculales	Ranunculaceae	Ranunculus
Chara aspera	225236	399466	Chara aspera	accepted	Species	Plantae	Charophyta		Charales	Characeae	Chara
Chara globularis	225244	495148	Chara globularis	accepted	Species	Plantae	Charophyta		Charales	Characeae	Chara
Furcellaria lumbricalis	232570	145620	Furcellaria lumbricalis	accepted	Species	Plantae	Rhodophyta		Gigartinales	Furcellariaceae	Furcellaria
Chorda filum	232750	145722	Chorda filum	accepted	Species	Chromista	Ochrophyta		Laminariales	Chordaceae	Chorda
Fucus serratus	232757	145546	Fucus serratus	accepted	Species	Chromista	Ochrophyta		Fucales	Fucaceae	Fucus
Fucus vesiculosus	232759	145548	Fucus vesiculosus	accepted	Species	Chromista	Ochrophyta		Fucales	Fucaceae	Fucus
Ulva lactuca	232801	145984	Ulva lactuca	accepted	Species	Plantae	Chlorophyta		Ulvales	Ulvaceae	Ulva
Monostroma balticum	232842	145938	Monostroma balticum	accepted	Species	Plantae	Chlorophyta		Ulotrichales	Monostromataceae	Monostroma
Chaetomorpha linum	251416	145027	Chaetomorpha linum	accepted	Species	Plantae	Chlorophyta		Cladophorales	Cladophoraceae	Chaetomorpha
Ectocarpales	3000323	842	Ectocarpales	accepted	Order	Chromista	Ochrophyta		Ectocarpales		
Chara baltica	322	399467	Chara baltica	accepted	Species	Plantae	Charophyta		Charales	Characeae	Chara
Chara canescens	325	399468	Chara canescens	accepted	Species	Plantae	Charophyta		Charales	Characeae	Chara
Chara horrida	329	399470	Chara horrida	accepted	Species	Plantae	Charophyta		Charales	Characeae	Chara
Bacteria	5000052	6	Bacteria	accepted	Kingdom	Bacteria					
Abietinaria abietina	243072	117870	Abietinaria abietina	accepted	Species	Animalia	Cnidaria		Leptothecata	Sertulariidae	Abietinaria
Ablabesmyia	1010130	987209	Ablabesmyia	accepted	Genus	Animalia	Arthropoda		Diptera	Chironomidae	Ablabesmyia
Abra	1005130	138474	Abra	accepted	Genus	Animalia	Mollusca		Cardiida	Semelidae	Abra
Abra alba	218308	141433	Abra alba	accepted	Species	Animalia	Mollusca		Cardiida	Semelidae	Abra
Abra longicallus	102743	141434	Abra longicallus	accepted	Species	Animalia	Mollusca		Cardiida	Semelidae	Abra
Abra nitida	218310	141435	Abra nitida	accepted	Species	Animalia	Mollusca		Cardiida	Semelidae	Abra
Abra prismatica	102744	141436	Abra prismatica	accepted	Species	Animalia	Mollusca		Cardiida	Semelidae	Abra
Abyssoninoe	1007492	129331	Abyssoninoe	accepted	Genus	Animalia	Annelida		Eunicida	Lumbrineridae	Abyssoninoe
Abyssoninoe hibernica	227229	146469	Abyssoninoe hibernica	accepted	Species	Animalia	Annelida		Eunicida	Lumbrineridae	Abyssoninoe
Abyssoninoe hibernica	227229	146469	Abyssoninoe hibernica	accepted	Species	Animalia	Annelida		Eunicida	Lumbrineridae	Abyssoninoe
Acanthocardia	1005095	137732	Acanthocardia	accepted	Genus	Animalia	Mollusca		Cardiida	Cardiidae	Acanthocardia
Acanthocardia echinata	218257	138992	Acanthocardia echinata	accepted	Species	Animalia	Mollusca		Cardiida	Cardiidae	Acanthocardia
Acanthocephala	5000012	18814	Acanthocephala	accepted	Phylum	Animalia	Acanthocephala				
Acanthoceras zachariasii	264148	178990	Acanthoceras zachariasii	accepted	Species	Chromista	Ochrophyta		Chaetocerotanae incertae sedis	Chaetocerotaceae	Acanthoceras
Acanthocorbis	1010537	105501	Acanthocorbis	accepted	Genus	Protozoa	Choanozoa		Acanthoecida	Acanthoecidae	Acanthocorbis
Acanthocorbis asymmetrica	238090	105543	Acanthocorbis asymmetrica	accepted	Species	Protozoa	Choanozoa		Acanthoecida	Acanthoecidae	Acanthocorbis
Acanthoica quattrospina	236952	235802	Acanthoica quattrospina	accepted	Species	Chromista	Haptophyta		Syracosphaerales	Rhabdosphaeraceae	Acanthoica
Acantholeberis curvirostris	6001215	1302966	Acantholeberis curvirostris	accepted	Species	Animalia	Arthropoda		Anomopoda	Acantholeberidae	Acantholeberis
Acanthostomella norvegica	238502	183556	Acanthostomella norvegica	accepted	Species	Chromista	Ciliophora		Choreotrichida	Ascampbelliellidae	Acanthostomella
Acari	3000227	292684	Acari	accepted	Subclass	Animalia	Arthropoda				
Acari	3000227	292684	Acari	accepted	Subclass	Animalia	Arthropoda				
Acartia	1009271	104108	Acartia	accepted	Genus	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia
Acartia bifilosa	233372	104249	Acartia bifilosa	alternate representation	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia
Acartia clausi	233373	104251	Acartia clausi	alternate representation	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia
Acartia discaudata	239242	104253	Acartia discaudata	alternate representation	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia
Acartia longiremis	233374	104257	Acartia longiremis	alternate representation	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia
Acartia tonsa	233375	104262	Acartia tonsa	alternate representation	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia
Acaulis primarius	233386	117260	Acaulis primarius	accepted	Species	Animalia	Cnidaria		Anthoathecata	Acaulidae	Acaulis
Acesta excavata	218376	140232	Acesta excavata	accepted	Species	Animalia	Mollusca		Limida	Limidae	Acesta
Achnanthes	1010466	149191	Achnanthes	accepted	Genus	Chromista	Ochrophyta		Achnanthales	Achnanthaceae	Achnanthes
Achnanthes longipes	237778	156533	Achnanthes longipes	accepted	Species	Chromista	Ochrophyta		Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium minutissimum	262234	163594	Achnanthidium minutissimum	alternate representation	Species	Chromista	Ochrophyta		Achnanthales	Achnanthidiaceae	Achnanthidium
Pauliella taeniata	237490	163624	Pauliella taeniata	uncertain	Species	Chromista	Ochrophyta		Lithodesmiales	Lithodesmiaceae	Pauliella
Acidostoma	1009273	101586	Acidostoma	accepted	Genus	Animalia	Arthropoda		Amphipoda	Acidostomatidae	Acidostoma
Acidostoma obesum	233385	102497	Acidostoma obesum	accepted	Species	Animalia	Arthropoda		Amphipoda	Acidostomatidae	Acidostoma
Acidostoma obesum	233385	102497	Acidostoma obesum	accepted	Species	Animalia	Arthropoda		Amphipoda	Acidostomatidae	Acidostoma
Acidostoma obesum	233385	102497	Acidostoma obesum	accepted	Species	Animalia	Arthropoda		Amphipoda	Acidostomatidae	Acidostoma
Acidostoma obesum	233385	102497	Acidostoma obesum	accepted	Species	Animalia	Arthropoda		Amphipoda	Acidostomatidae	Acidostoma
Aclis	1004931	137614	Aclis	accepted	Genus	Animalia	Mollusca		Littorinimorpha	Eulimidae	Aclis
Aclis ascaris	217938	138678	Aclis ascaris	accepted	Species	Animalia	Mollusca		Littorinimorpha	Eulimidae	Aclis
Aclis walleri	217940	138686	Aclis walleri	accepted	Species	Animalia	Mollusca		Littorinimorpha	Eulimidae	Aclis
Tectura	1004923	138142	Tectura	accepted	Genus	Animalia	Mollusca			Lottiidae	Tectura
Acrochaetiaceae	2002176	143661	Acrochaetiaceae	accepted	Family	Plantae	Rhodophyta		Acrochaetiales	Acrochaetiaceae	
Acrochaetium	1008398	143799	Acrochaetium	accepted	Genus	Plantae	Rhodophyta		Acrochaetiales	Acrochaetiaceae	Acrochaetium
Acrosiphonia	1008582	143803	Acrosiphonia	accepted	Genus	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	Acrosiphonia
Acrosiphonia arcta	232839	144407	Acrosiphonia arcta	accepted	Species	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	Acrosiphonia
Ulotrichaceae	2002562	143790	Ulotrichaceae	accepted	Family	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	
Ulotrichaceae	2002562	143790	Ulotrichaceae	accepted	Family	Plantae	Chlorophyta		Ulotrichales	Ulotrichaceae	
Acteon tornatilis	218098	138691	Acteon tornatilis	accepted	Species	Animalia	Mollusca			Acteonidae	Acteon
Actiniaria	3000027	1360	Actiniaria	accepted	Order	Animalia	Cnidaria		Actiniaria		
Actiniaria	3000027	1360	Actiniaria	accepted	Order	Animalia	Cnidaria		Actiniaria		
Actiniidae	2000111	100653	Actiniidae	accepted	Family	Animalia	Cnidaria		Actiniaria	Actiniidae	
Actiniscus pentasterias	238456	109717	Actiniscus pentasterias	accepted	Species	Chromista	Myzozoa		Actiniscales	Actiniscaceae	Actiniscus
Actinocyclus	1010407	148944	Actinocyclus	accepted	Genus	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus normanii	237433	148945	Actinocyclus normanii	accepted	Species	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus octonarius	237434	149164	Actinocyclus octonarius	unaccepted	Species	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus octonarius var. crassus	248669	160648	Actinocyclus octonarius var. crassus	alternate representation	Variety	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus octonarius var. octonarius	248668	162770	Actinocyclus octonarius var. octonarius	uncertain	Variety	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus octonarius var. tenellus	245175	160650	Actinocyclus octonarius var. tenellus	alternate representation	Variety	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus octonarius var. octonarius	248668	162770	Actinocyclus octonarius var. octonarius	uncertain	Variety	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus octonarius var. tenellus	245175	160650	Actinocyclus octonarius var. tenellus	alternate representation	Variety	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinocyclus octonarius	237434	149164	Actinocyclus octonarius	unaccepted	Species	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinomonas	1010344	369319	Actinomonas	accepted	Genus	Chromista	Ochrophyta		Pedinellales	Pedinellaceae	Actinomonas
Actinopterygii	4000103	10194	Actinopterygii	accepted	Gigaclass	Animalia	Chordata				
Actinocyclus octonarius	237434	149164	Actinocyclus octonarius	unaccepted	Species	Chromista	Ochrophyta		Coscinodiscales	Hemidiscaceae	Actinocyclus
Actinoptychus senarius	237426	148948	Actinoptychus senarius	alternate representation	Species	Chromista	Ochrophyta		Coscinodiscales	Heliopeltaceae	Actinoptychus
Actinostola callosa	217861	100839	Actinostola callosa	accepted	Species	Animalia	Cnidaria		Actiniaria	Actinostolidae	Actinostola
Tetradesmus lagerheimii	238809	1289276	Tetradesmus lagerheimii	accepted	Species	Plantae	Chlorophyta		Sphaeropleales	Scenedesmaceae	Tetradesmus
Tetradesmus obliquus	261051	1359367	Tetradesmus obliquus	accepted	Species	Plantae	Chlorophyta		Sphaeropleales	Scenedesmaceae	Tetradesmus
Adontorhina similis	250102	345774	Adontorhina similis	accepted	Species	Animalia	Mollusca		Lucinida	Thyasiridae	Adontorhina
Aegagropila	1014017	381149	Aegagropila	accepted	Genus	Plantae	Chlorophyta		Cladophorales	Pithophoraceae	Aegagropila
Aegagropila linnaei	232820	381150	Aegagropila linnaei	accepted	Species	Plantae	Chlorophyta		Cladophorales	Pithophoraceae	Aegagropila
Aegisthus	6033047	115186	Aegisthus	accepted	Genus	Animalia	Arthropoda		Harpacticoida	Aegisthidae	Aegisthus
Aeolidia	1005028	137630	Aeolidia	accepted	Genus	Animalia	Mollusca		Nudibranchia	Aeolidiidae	Aeolidia
Aeolidia papillosa	6028458	138709	Aeolidia papillosa	accepted	Species	Animalia	Mollusca		Nudibranchia	Aeolidiidae	Aeolidia
Aeolidiella	1005029	137631	Aeolidiella	accepted	Genus	Animalia	Mollusca		Nudibranchia	Aeolidiidae	Aeolidiella
Aeolidiidae	2000655	192	Aeolidiidae	accepted	Family	Animalia	Mollusca		Nudibranchia	Aeolidiidae	
Aequipecten opercularis	218389	140687	Aequipecten opercularis	accepted	Species	Animalia	Mollusca		Pectinida	Pectinidae	Aequipecten
Aetideidae	2001453	104075	Aetideidae	accepted	Family	Animalia	Arthropoda		Calanoida	Aetideidae	
Aglantha	1010866	117212	Aglantha	accepted	Genus	Animalia	Cnidaria		Trachymedusae	Rhopalonematidae	Aglantha
Aglaophamus agilis	227023	130343	Aglaophamus agilis	accepted	Species	Animalia	Annelida		Phyllodocida	Nephtyidae	Aglaophamus
Aglaophamus malmgreni	227022	130344	Aglaophamus malmgreni	accepted	Species	Animalia	Annelida		Phyllodocida	Nephtyidae	Aglaophamus
Aglaophamus pulcher	227037	547398	Aglaophamus pulcher	accepted	Species	Animalia	Annelida		Phyllodocida	Nephtyidae	Aglaophamus
Aglaophamus agilis	227023	130343	Aglaophamus agilis	accepted	Species	Animalia	Annelida		Phyllodocida	Nephtyidae	Aglaophamus
Aglaothamnion	1008446	143825	Aglaothamnion	accepted	Genus	Plantae	Rhodophyta		Ceramiales	Callithamniaceae	Aglaothamnion
Aglaothamnion hookeri	232595	144496	Aglaothamnion hookeri	unaccepted	Species	Plantae	Rhodophyta		Ceramiales	Callithamniaceae	Aglaothamnion
Aglaothamnion roseum	232596	144499	Aglaothamnion roseum	unaccepted	Species	Plantae	Rhodophyta		Ceramiales	Callithamniaceae	Aglaothamnion
Agonus cataphractus	206053	127190	Agonus cataphractus	accepted	Species	Animalia	Chordata		Perciformes	Agonidae	Agonus
Agrostis stolonifera	222198	993840	Agrostis stolonifera	accepted	Species	Plantae	Tracheophyta		Poales	Poaceae	Agrostis
Ahnfeltia plicata	232508	144422	Ahnfeltia plicata	accepted	Species	Plantae	Rhodophyta		Ahnfeltiales	Ahnfeltiaceae	Ahnfeltia
Akashiwo sanguinea	238409	232546	Akashiwo sanguinea	accepted	Species	Chromista	Myzozoa		Gymnodiniales	Gymnodiniaceae	Akashiwo
Akera bullata	218096	138734	Akera bullata	accepted	Species	Animalia	Mollusca		Aplysiida	Akeridae	Akera
Alcyonidium	1009555	110993	Alcyonidium	accepted	Genus	Animalia	Bryozoa		Ctenostomatida	Alcyonidiidae	Alcyonidium
Alcyonidium diaphanum	235151	111597	Alcyonidium diaphanum	accepted	Species	Animalia	Bryozoa		Ctenostomatida	Alcyonidiidae	Alcyonidium
Alcyonidium diaphanum	235151	111597	Alcyonidium diaphanum	accepted	Species	Animalia	Bryozoa		Ctenostomatida	Alcyonidiidae	Alcyonidium
Alcyonium digitatum	217834	125333	Alcyonium digitatum	accepted	Species	Animalia	Cnidaria		Alcyonacea	Alcyoniidae	Alcyonium
Alderia modesta	218204	141555	Alderia modesta	accepted	Species	Animalia	Mollusca			Limapontiidae	Alderia
Aldisa zetlandica	218125	138739	Aldisa zetlandica	accepted	Species	Animalia	Mollusca		Nudibranchia	Cadlinidae	Aldisa
Alexandrium	1010588	109470	Alexandrium	accepted	Genus	Chromista	Myzozoa		Gonyaulacales	Ostreopsidaceae	Alexandrium
Alexandrium minutum	238223	109711	Alexandrium minutum	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ostreopsidaceae	Alexandrium
Alexandrium ostenfeldii	238224	109712	Alexandrium ostenfeldii	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ostreopsidaceae	Alexandrium
Alexandrium pseudogonyaulax	238225	109713	Alexandrium pseudogonyaulax	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ostreopsidaceae	Alexandrium
Alexandrium tamarense	238226	109714	Alexandrium tamarense	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Ostreopsidaceae	Alexandrium
Alisma plantago-aquatica	219554	1263646	Alisma plantago-aquatica	accepted	Species	Plantae	Tracheophyta		Alismatales	Alismataceae	Alisma
Alismatales	3000452	153491	Alismatales	accepted	Order	Plantae	Tracheophyta		Alismatales		
Alisma wahlenbergii	30	715999	Alisma wahlenbergii	accepted	Species	Plantae	Tracheophyta		Alismatales	Alismataceae	Alisma
Alitta virens	227008	234851	Alitta virens	accepted	Species	Animalia	Annelida		Phyllodocida	Nereididae	Alitta
Alkmaria romijni	227448	129769	Alkmaria romijni	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Alkmaria
Alvania	1004979	138439	Alvania	accepted	Genus	Animalia	Mollusca		Littorinimorpha	Rissoidae	Alvania
Alvania testae	102774	141251	Alvania testae	accepted	Species	Animalia	Mollusca		Littorinimorpha	Rissoidae	Alvania
Alvania beanii	218028	416615	Alvania beanii	accepted	Species	Animalia	Mollusca		Littorinimorpha	Rissoidae	Alvania
Alvania jeffreysi	102772	141200	Alvania jeffreysi	accepted	Species	Animalia	Mollusca		Littorinimorpha	Rissoidae	Alvania
Alvania punctura	218032	141230	Alvania punctura	accepted	Species	Animalia	Mollusca		Littorinimorpha	Rissoidae	Alvania
Crisilla semistriata	233432	141280	Crisilla semistriata	accepted	Species	Animalia	Mollusca		Littorinimorpha	Rissoidae	Crisilla
Alvania subsoluta	102773	141247	Alvania subsoluta	accepted	Species	Animalia	Mollusca		Littorinimorpha	Rissoidae	Alvania
Alvania testae	102774	141251	Alvania testae	accepted	Species	Animalia	Mollusca		Littorinimorpha	Rissoidae	Alvania
Amaeana trilobata	227537	131471	Amaeana trilobata	accepted	Species	Animalia	Annelida		Terebellida	Terebellidae	Amaeana
Amblyops abbreviatus	233387	119941	Amblyops abbreviatus	accepted	Species	Animalia	Arthropoda		Mysida	Mysidae	Amblyops
Amblyraja radiata	206220	105865	Amblyraja radiata	accepted	Species	Animalia	Chordata		Rajiformes	Rajidae	Amblyraja
Ammodytes	1001668	125909	Ammodytes	accepted	Genus	Animalia	Chordata		Perciformes	Ammodytidae	Ammodytes
Ammodytes tobianus	206058	126752	Ammodytes tobianus	accepted	Species	Animalia	Chordata		Perciformes	Ammodytidae	Ammodytes
Ammodytidae	2002039	125516	Ammodytidae	accepted	Family	Animalia	Chordata		Perciformes	Ammodytidae	
Ammotheidae	2001693	1562	Ammotheidae	accepted	Family	Animalia	Arthropoda		Pantopoda	Ammotheidae	
Ampelisca	1009272	101445	Ampelisca	accepted	Genus	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca anomala	243508	101885	Ampelisca anomala	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca brevicornis	233379	101891	Ampelisca brevicornis	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca diadema	233380	101896	Ampelisca diadema	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca macrocephala	233381	101908	Ampelisca macrocephala	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca macrocephala	233381	101908	Ampelisca macrocephala	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca pusilla	233382	101918	Ampelisca pusilla	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca spinipes	233383	101928	Ampelisca spinipes	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca tenuicornis	233384	101930	Ampelisca tenuicornis	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampelisca typica	234284	101933	Ampelisca typica	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampeliscidae	Ampelisca
Ampeliscidae	2001665	101364	Ampeliscidae	accepted	Family	Animalia	Arthropoda		Amphipoda	Ampeliscidae	
Ampharete lindstroemi	227459	129781	Ampharete lindstroemi	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete	1007570	129155	Ampharete	accepted	Genus	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete grubei	227454	152272	Ampharete grubei	unaccepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete baltica	227455	129776	Ampharete baltica	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete falcata	227456	129777	Ampharete falcata	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete finmarchica	227457	129778	Ampharete finmarchica	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete goesi	227458	129779	Ampharete goesi	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete grubei	227454	152272	Ampharete grubei	unaccepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharete lindstroemi	227459	129781	Ampharete lindstroemi	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Ampharete
Ampharetidae	2000533	981	Ampharetidae	accepted	Family	Animalia	Annelida		Terebellida	Ampharetidae	
Amphibalanus improvisus	261373	421139	Amphibalanus improvisus	accepted	Species	Animalia	Arthropoda		Balanomorpha	Balanidae	Amphibalanus
Amphicteis	1007571	129156	Amphicteis	accepted	Genus	Animalia	Annelida		Terebellida	Ampharetidae	Amphicteis
Amphicteis gunneri	227463	129784	Amphicteis gunneri	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Amphicteis
Amphidinium	1010608	109473	Amphidinium	accepted	Genus	Chromista	Myzozoa		Amphidiniales	Amphidiniaceae	Amphidinium
Amphidinium acutissimum	238364	109718	Amphidinium acutissimum	accepted	Species	Chromista	Myzozoa		Amphidiniales	Amphidiniaceae	Amphidinium
Amphidinium carterae	238365	109723	Amphidinium carterae	accepted	Species	Chromista	Myzozoa		Amphidiniales	Amphidiniaceae	Amphidinium
Amphidinium crassum	238366	109726	Amphidinium crassum	accepted	Species	Chromista	Myzozoa		Amphidiniales	Amphidiniaceae	Amphidinium
Amphidinium longum	238370	109741	Amphidinium longum	accepted	Species	Chromista	Myzozoa		Amphidiniales	Amphidiniaceae	Amphidinium
Gymnodinium venator	238374	547469	Gymnodinium venator	accepted	Species	Chromista	Myzozoa		Gymnodiniales	Gymnodiniaceae	Gymnodinium
Amphidinium sphenoides	238377	109754	Amphidinium sphenoides	accepted	Species	Chromista	Myzozoa		Amphidiniales	Amphidiniaceae	Amphidinium
Amphilepis norvegica	102866	125057	Amphilepis norvegica	accepted	Species	Animalia	Echinodermata		Amphilepidida	Amphilepididae	Amphilepis
Amphilochidae	2001654	101365	Amphilochidae	accepted	Family	Animalia	Arthropoda		Amphipoda	Amphilochidae	
Amphilochoides	1009276	101448	Amphilochoides	accepted	Genus	Animalia	Arthropoda		Amphipoda	Amphilochidae	Amphilochoides
Amphilochoides boecki	246842	101960	Amphilochoides boecki	accepted	Species	Animalia	Arthropoda		Amphipoda	Amphilochidae	Amphilochoides
Amphilochoides serratipes	233388	101963	Amphilochoides serratipes	accepted	Species	Animalia	Arthropoda		Amphipoda	Amphilochidae	Amphilochoides
Amphipoda	3000222	1135	Amphipoda	accepted	Order	Animalia	Arthropoda		Amphipoda		
Amphiprora	1010435	149140	Amphiprora	accepted	Genus	Chromista	Ochrophyta		Naviculales	Amphipleuraceae	Amphiprora
Entomoneis paludosa	237498	163646	Entomoneis paludosa	accepted	Species	Chromista	Ochrophyta		Surirellales	Entomoneidaceae	Entomoneis
Entomoneis paludosa var. paludosa	248667	577626	Entomoneis paludosa var. paludosa	accepted	Variety	Chromista	Ochrophyta		Surirellales	Entomoneidaceae	Entomoneis
Entomoneis paludosa var. paludosa	248667	577626	Entomoneis paludosa var. paludosa	accepted	Variety	Chromista	Ochrophyta		Surirellales	Entomoneidaceae	Entomoneis
Ampithoe rubricata	243625	102002	Ampithoe rubricata	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampithoidae	Ampithoe
Amphitrite cirrata	227500	131474	Amphitrite cirrata	accepted	Species	Animalia	Annelida		Terebellida	Terebellidae	Amphitrite
Amphitritides gracilis	227501	131480	Amphitritides gracilis	accepted	Species	Animalia	Annelida		Terebellida	Terebellidae	Amphitritides
Amphiura	1004764	123613	Amphiura	accepted	Genus	Animalia	Echinodermata		Amphilepidida	Amphiuridae	Amphiura
Amphiura chiajei	217698	125073	Amphiura chiajei	accepted	Species	Animalia	Echinodermata		Amphilepidida	Amphiuridae	Amphiura
Amphiura filiformis	217699	125080	Amphiura filiformis	accepted	Species	Animalia	Echinodermata		Amphilepidida	Amphiuridae	Amphiura
Amphiuridae	2001925	123206	Amphiuridae	accepted	Family	Animalia	Echinodermata		Amphilepidida	Amphiuridae	
Amphora	1010492	149200	Amphora	accepted	Genus	Chromista	Ochrophyta		Thalassiophysales	Catenulaceae	Amphora
Halamphora coffeaeformis	237922	624065	Halamphora coffeaeformis	accepted	Species	Chromista	Ochrophyta		Naviculales	Amphipleuraceae	Halamphora
Ampithoe rubricata	243625	102002	Ampithoe rubricata	accepted	Species	Animalia	Arthropoda		Amphipoda	Ampithoidae	Ampithoe
Amylax	1010584	109518	Amylax	accepted	Genus	Chromista	Myzozoa		Gonyaulacales	Gonyaulacaceae	Amylax
Amylax buxus	238211	233480	Amylax buxus	unaccepted	Species	Chromista	Myzozoa		Gonyaulacales	Gonyaulacaceae	Amylax
Amylax triacantha	238212	110007	Amylax triacantha	accepted	Species	Chromista	Myzozoa		Gonyaulacales	Gonyaulacaceae	Amylax
Amythasides macroglossus	227467	129788	Amythasides macroglossus	accepted	Species	Animalia	Annelida		Terebellida	Ampharetidae	Amythasides
Anabaena	1010272	146585	Anabaena	accepted	Genus	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Anabaena
Anabaena baltica	236903	177635	Anabaena baltica	unaccepted	Species	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Anabaena
Dolichospermum sigmoideum	263661	625408	Dolichospermum sigmoideum	accepted	Species	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Dolichospermum
Dolichospermum crassum	236905	625368	Dolichospermum crassum	accepted	Species	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Dolichospermum
Anabaena cylindrica	236906	177649	Anabaena cylindrica	accepted	Species	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Anabaena
