source_field	dwc_field	from_value	to_value	comments
sampler_type_code		SUSE_TS	Tube sampler for zooplankton used by SUSE	
sampler_type_code		UD	Unknown dredge	
sampler_type_code		US	Usnel corer	
sampler_type_code		VC	Vibro-corer	
sampler_type_code		WD	Warren dredge	
sampler_type_code		VID	Video-based determination of coverage	
sampler_type_code		VIDEO-NET	A combined net and video-frame used for visual observations	
sampler_type_code		WAT	Unknown water sampler	
sampler_type_code		WP-2	WP-2 net	
sampler_type_code		WP-3	WP-3 net	
sampler_type_code		VS	Valter core sampler	
sampler_type_code		VV	Van Veen grab	
sampler_type_code		HC	Hand corer

calculation_method		F	Flowmeter reading	
calculation_method		H	Haul length

	sex	F	Female
	sex	H	Hermaphrodite
	sex	I	Immature
	sex	M	Male
	sex	U	Undetermined
	sex	X	Mixed
